Country,sum(presence)
american_samoa,13
antarctica,2
aus_endemic,18327
bangladesh,27
brunei,478
cambodia,348
chile,86
china,759
cook_islands,69
easttimor,327
fiji,142
french_southern_territories,78
india,419
indonesia,1999
japan,524
laos,202
madagascar,362
malaysia,765
maldives,51
marshall_islands,17
mauritius,76
mozambique,223
myanmar,137
nauru,0
new_caledonia,465
new_guinea,1598
new_zealand,416
philippines,703
reunion,179
solomon_islands,282
south_africa,228
south_georgia,14
sri_lanka,224
taiwan,600
tanzania,329
thailand,483
vanuatu,201
vietnam,352
